SE PSI DELTA
AOI	 75.7
SE 277.725	0.771252	0.133314
SE 277.908	0.769307	0.122015
SE 278.091	0.76786		0.107274
SE 278.275	0.761073	0.0947276
SE 278.459	0.759472	0.0773065
SE 278.644	0.756588	0.0661609
SE 278.829	0.752671	0.0520437
SE 279.014	0.746253	0.0381689
SE 279.2	0.741814	0.0242678
SE 279.386	0.740588	0.00888777
SE 279.573	0.734831	-0.00668074
SE 279.76	0.730233	-0.0209418
SE 279.948	0.727063	-0.0367132
SE 280.135	0.721617	-0.0581578
SE 280.324	0.716568	-0.0680677
SE 280.512	0.715093	-0.0864419
SE 280.701	0.71131		-0.101816
SE 280.891	0.706629	-0.119675
SE 281.081	0.701243	-0.136407
SE 281.271	0.698605	-0.154316
SE 281.462	0.692672	-0.170865
SE 281.653	0.687651	-0.189511
SE 281.845	0.685368	-0.207333
SE 282.037	0.68207		-0.220944
SE 282.229	0.675562	-0.246315
SE 282.422	0.669207	-0.264368
SE 282.615	0.662434	-0.280536
SE 282.809	0.662129	-0.301204
SE 283.003	0.655643	-0.319393
SE 283.197	0.653382	-0.345009
SE 283.392	0.647634	-0.362404
SE 283.588	0.641333	-0.38135
SE 283.784	0.636028	-0.399946
SE 283.98	0.628943	-0.425967
SE 284.177	0.626006	-0.450001
SE 284.374	0.620454	-0.463581
SE 284.571	0.614865	-0.489371
SE 284.769	0.611111	-0.509872
SE 284.968	0.604226	-0.53031
SE 285.167	0.600678	-0.55874
SE 285.366	0.596624	-0.573273
SE 285.566	0.589426	-0.598284
SE 285.766	0.585739	-0.618642
SE 285.967	0.580352	-0.640893
SE 286.168	0.573892	-0.66179
SE 286.37	0.570744	-0.683645
SE 286.572	0.566476	-0.707788
SE 286.775	0.562016	-0.722756
SE 286.978	0.55727		-0.746202
SE 287.181	0.551377	-0.76446
SE 287.385	0.547921	-0.785584
SE 287.59	0.542479	-0.804094
SE 287.794	0.537496	-0.824362
SE 288		0.529647	-0.8407
SE 288.206	0.528448	-0.860429
SE 288.412	0.523871	-0.874961
SE 288.619	0.518622	-0.891878
SE 288.826	0.515687	-0.906948
SE 289.034	0.509473	-0.919929
SE 289.242	0.506342	-0.932107
SE 289.451	0.501098	-0.94316
SE 289.66	0.498404	-0.95361
SE 289.87	0.493793	-0.962705
SE 290.08	0.48937		-0.966228
SE 290.29	0.488394	-0.979889
SE 290.502	0.483313	-0.986911
SE 290.713	0.478165	-0.992183
SE 290.925	0.47694		-0.994735
SE 291.138	0.473012	-0.996226
SE 291.351	0.472006	-0.997452
SE 291.565	0.470852	-0.9999
SE 291.779	0.467533	-0.993872
SE 291.994	0.464489	-0.9999
SE 292.209	0.462312	-0.992513
SE 292.425	0.4621		-0.997611
SE 292.641	0.46091		-0.982384
SE 292.858	0.461776	-0.976422
SE 293.075	0.458029	-0.966093
SE 293.293	0.456458	-0.959998
SE 293.511	0.458866	-0.946546
SE 293.73	0.459392	-0.932956
SE 293.949	0.458164	-0.925724
SE 294.169	0.456791	-0.913463
