"Wavelength (nm)"; "Reflectance"
628,5; 0,335247
629; 0,336491
629,5; 0,337948
630; 0,339648
630,5; 0,341076
631; 0,342244
631,5; 0,343165
632; 0,34376
632,5; 0,344248
633; 0,344873
633,5; 0,345677
634; 0,346302
634,5; 0,346741
635; 0,347084
635,5; 0,347142
636; 0,347024
636,5; 0,346896
637; 0,346749
637,5; 0,346503
638; 0,346165
638,5; 0,345796
639; 0,345154
639,5; 0,344269
640; 0,343406
640,5; 0,342538
641; 0,341537
641,5; 0,340345
642; 0,339114
642,5; 0,337744
643; 0,336185
643,5; 0,334661
644; 0,332965
644,5; 0,331077
645; 0,329369
645,5; 0,327738
646; 0,325945
646,5; 0,323848
647; 0,321602
647,5; 0,319129
648; 0,316402
648,5; 0,314026
649; 0,311804
649,5; 0,30941
650; 0,307153
650,5; 0,304623
651; 0,301629
651,5; 0,298639
652; 0,295479
652,5; 0,292141
653; 0,2889
653,5; 0,285536
654; 0,281978
654,5; 0,278335
655; 0,274629
655,5; 0,270997
656; 0,267487
656,5; 0,263861
657; 0,260219
657,5; 0,25657
658; 0,252649
658,5; 0,24874
659; 0,244867
659,5; 0,240699
660; 0,236424
660,5; 0,232161
661; 0,227865
661,5; 0,223486
662; 0,219011
662,5; 0,214467
663; 0,209912
663,5; 0,205373
664; 0,200892
664,5; 0,196498
665; 0,191868
665,5; 0,187075
666; 0,182534
666,5; 0,177805
667; 0,172962
667,5; 0,168362
668; 0,163559
668,5; 0,158806
669; 0,154412
669,5; 0,149857
670; 0,145285
670,5; 0,140753
671; 0,135871
671,5; 0,131111
672; 0,126535
672,5; 0,121711
673; 0,11716
673,5; 0,112782
674; 0,108158
674,5; 0,103756
675; 0,099477
675,5; 0,095082
676; 0,090821
676,5; 0,086686
677; 0,082572
677,5; 0,078463
678; 0,074506
678,5; 0,070698
679; 0,066896
679,5; 0,063164
680; 0,059557
680,5; 0,056061
681; 0,052612
681,5; 0,049355
682; 0,046317
682,5; 0,043209
683; 0,040228
683,5; 0,037461
684; 0,034692
684,5; 0,032107
685; 0,029773
685,5; 0,027569
686; 0,02549
686,5; 0,023555
687; 0,02177
687,5; 0,020126
688; 0,018635
688,5; 0,017309
689; 0,016125
689,5; 0,015035
690; 0,014066
690,5; 0,013304
691; 0,012693
691,5; 0,012266
692; 0,012076
692,5; 0,011988
693; 0,012035
693,5; 0,012282
694; 0,012657
694,5; 0,01316
695; 0,013823
695,5; 0,014658
696; 0,015632
696,5; 0,016716
697; 0,017922
697,5; 0,019342
698; 0,020886
698,5; 0,02248
699; 0,024318
699,5; 0,026272
700; 0,02827
700,5; 0,030534
701; 0,032913
701,5; 0,03535
702; 0,037962
702,5; 0,040631
703; 0,043358
703,5; 0,04624
704; 0,049236
704,5; 0,05232
705; 0,055466
705,5; 0,058633
706; 0,061879
706,5; 0,06521
707; 0,068566
707,5; 0,072103
708; 0,075768
708,5; 0,079393
709; 0,083126
709,5; 0,086905
710; 0,09064
710,5; 0,094496
711; 0,098383
711,5; 0,102253
712; 0,106235
712,5; 0,110183
713; 0,114103
713,5; 0,118145
714; 0,122179
714,5; 0,126226
715; 0,130361
715,5; 0,134477
716; 0,138589
716,5; 0,142684
717; 0,14663
717,5; 0,15056
718; 0,154509
718,5; 0,158385
719; 0,162376
719,5; 0,166465
720; 0,170507
720,5; 0,17452
721; 0,178463
721,5; 0,18233
722; 0,18621
722,5; 0,190009
723; 0,19374
723,5; 0,197548
724; 0,201274
724,5; 0,204934
725; 0,208643
725,5; 0,212263
726; 0,215822
726,5; 0,219372
727; 0,222838
727,5; 0,226329
728; 0,229859
728,5; 0,233285
729; 0,236642
729,5; 0,239953
730; 0,243182
730,5; 0,246285
731; 0,249364
731,5; 0,252471
732; 0,255468
732,5; 0,258437
733; 0,261426
733,5; 0,264333
734; 0,267123
734,5; 0,269828
735; 0,272479
735,5; 0,275034
736; 0,277572
736,5; 0,280159
737; 0,282693
737,5; 0,28517
738; 0,287595
738,5; 0,28993
739; 0,292195
739,5; 0,294442
740; 0,296676
740,5; 0,298742
741; 0,30071
741,5; 0,302705
742; 0,30469
742,5; 0,306618
743; 0,30852
743,5; 0,310463
744; 0,312286
744,5; 0,313956
745; 0,315545
745,5; 0,316996
746; 0,318428
746,5; 0,319939
747; 0,321409
747,5; 0,322808
748; 0,324162
748,5; 0,325496
749; 0,326798
749,5; 0,328005
750; 0,329075
750,5; 0,330079
751; 0,331012
751,5; 0,331823
752; 0,332501
752,5; 0,333218
753; 0,334039
753,5; 0,334851
754; 0,335566
754,5; 0,336234
755; 0,33691
755,5; 0,337461
756; 0,33786
756,5; 0,338192
757; 0,338564
757,5; 0,33881
758; 0,338835
758,5; 0,338741
