"Wavelength (nm)"	"Reflectance"
644,5	0,116358
645	0,118011
645,5	0,119666
646	0,121304
646,5	0,122995
647	0,124746
647,5	0,126502
648	0,128224
648,5	0,129997
649	0,131843
649,5	0,133734
650	0,135625
650,5	0,137503
651	0,139374
651,5	0,141239
652	0,143081
652,5	0,144923
653	0,14681
653,5	0,148714
654	0,150639
654,5	0,152637
655	0,15476
655,5	0,15694
656	0,159113
656,5	0,161333
657	0,163475
657,5	0,165532
658	0,167709
658,5	0,169853
659	0,171898
659,5	0,173945
660	0,175929
660,5	0,177912
661	0,179987
661,5	0,18198
662	0,183883
662,5	0,185792
663	0,187754
663,5	0,189725
664	0,19172
664,5	0,193843
665	0,195914
665,5	0,197958
666	0,200176
666,5	0,202313
667	0,204343
667,5	0,206411
668	0,20843
668,5	0,210457
669	0,212525
669,5	0,214464
670	0,216348
670,5	0,218319
671	0,220414
671,5	0,222526
672	0,224547
672,5	0,226451
673	0,228365
673,5	0,230355
674	0,232353
674,5	0,234184
675	0,235946
675,5	0,237768
676	0,239554
676,5	0,241304
677	0,243057
677,5	0,244828
678	0,246589
678,5	0,248264
679	0,249833
679,5	0,251558
680	0,253378
680,5	0,255085
681	0,256756
681,5	0,25842
682	0,260109
682,5	0,26188
683	0,263553
683,5	0,265118
684	0,266795
684,5	0,268442
685	0,26997
685,5	0,271417
686	0,272818
686,5	0,274231
687	0,275671
687,5	0,277038
688	0,278375
688,5	0,279795
689	0,281362
689,5	0,282949
690	0,28448
690,5	0,285987
691	0,287466
691,5	0,288893
692	0,29025
692,5	0,29153
693	0,292749
693,5	0,293922
694	0,295049
694,5	0,296147
695	0,297259
695,5	0,298425
696	0,299578
696,5	0,300677
697	0,301745
697,5	0,302828
698	0,30394
698,5	0,305069
699	0,30619
699,5	0,30726
700	0,30826
700,5	0,309218
701	0,310201
701,5	0,311204
702	0,312142
702,5	0,312953
703	0,313679
703,5	0,314429
704	0,315288
704,5	0,316245
705	0,317207
705,5	0,31806
706	0,318882
706,5	0,319757
707	0,320671
707,5	0,32153
708	0,322292
708,5	0,322977
709	0,323603
709,5	0,324193
710	0,324756
710,5	0,325261
711	0,325737
711,5	0,326216
712	0,326702
712,5	0,327168
713	0,327618
713,5	0,328084
714	0,328564
714,5	0,329056
715	0,32954
715,5	0,329976
716	0,330391
716,5	0,330805
717	0,331188
717,5	0,33157
718	0,331951
718,5	0,332307
719	0,332669
719,5	0,333039
720	0,333378
720,5	0,333643
721	0,333839
721,5	0,333987
722	0,334101
722,5	0,334212
723	0,334317
723,5	0,334381
724	0,334426
724,5	0,33448
725	0,334555
725,5	0,334632
726	0,334701
