SE ALPHA BETA
AOI	 71.5921
A	 -24.9788
SE 442.315	-0.593241	0.777968
SE 442.991	-0.593766	0.77876
SE 443.667	-0.594654	0.774114
SE 444.343	-0.593863	0.772782
SE 445.018	-0.594617	0.767552
SE 445.694	-0.591851	0.762135
SE 446.369	-0.590554	0.756083
SE 447.045	-0.589012	0.747826
SE 447.72	-0.583082	0.739674
SE 448.396	-0.579558	0.730351
SE 449.071	-0.570678	0.722814
SE 449.746	-0.561565	0.713777
SE 450.422	-0.563669	0.700301
SE 451.097	-0.562655	0.684275
SE 451.772	-0.548458	0.67378
SE 452.447	-0.539768	0.662464
SE 453.122	-0.53596	0.645325
SE 453.797	-0.525803	0.631262
SE 454.472	-0.514063	0.618037
SE 455.147	-0.504479	0.602016
SE 455.822	-0.493629	0.58747
SE 456.497	-0.48313	0.570744
SE 457.172	-0.473116	0.553763
SE 457.846	-0.4614	0.537466
SE 458.521	-0.451623	0.521075
SE 459.196	-0.441531	0.503936
SE 459.871	-0.43046	0.486213
SE 460.545	-0.41617	0.46946
SE 461.22	-0.403679	0.454471
SE 461.895	-0.392351	0.43419
SE 462.569	-0.378146	0.419201
SE 463.243	-0.368968	0.401133
SE 463.918	-0.356839	0.383754
SE 464.592	-0.343893	0.367777
SE 465.266	-0.330922	0.350721
SE 465.941	-0.316147	0.334239
SE 466.615	-0.301076	0.317498
SE 467.289	-0.287115	0.301521
SE 467.962	-0.278646	0.283863
SE 468.637	-0.270507	0.266241
SE 469.311	-0.258405	0.248937
SE 469.984	-0.246068	0.23412
SE 470.659	-0.233801	0.217656
SE 471.333	-0.220637	0.203309
SE 472.007	-0.207432	0.185517
SE 472.68	-0.18699	0.174353
SE 473.354	-0.17676	0.157969
SE 474.027	-0.179997	0.140158
SE 474.701	-0.164735	0.126733
SE 475.375	-0.148731	0.113652
SE 476.048	-0.138195	0.0992606
SE 476.721	-0.124553	0.0857646
SE 477.395	-0.113545	0.073303
SE 478.069	-0.0998085	0.0596098
SE 478.742	-0.0887628	0.0471043
SE 479.415	-0.0773199	0.0351192
SE 480.089	-0.0656231	0.0222115
SE 480.762	-0.052723	0.0112649
SE 481.435	-0.0436565	-0.000850135
SE 482.108	-0.0359668	-0.0136171
SE 482.781	-0.0236211	-0.0260919
SE 483.454	-0.0153916	-0.0369455
SE 484.127	-0.00598752	-0.0477401
SE 484.8	0.00370645	-0.058423
SE 485.473	0.0145207	-0.0699461
SE 486.146	0.0256651	-0.0805609
SE 486.819	0.036307	-0.0891901
SE 487.491	0.0456065	-0.0980514
SE 488.164	0.0549918	-0.10748
SE 488.837	0.0642645	-0.118087
SE 489.509	0.0741219	-0.127027
SE 490.182	0.0834368	-0.134732
SE 490.854	0.0956197	-0.144038
SE 491.527	0.106573	-0.151058
SE 492.199	0.112422	-0.160414
SE 492.872	0.118612	-0.169484
SE 493.544	0.127375	-0.176843
SE 494.216	0.13706	-0.184646
SE 494.889	0.14493	-0.19219
SE 495.561	0.155359	-0.20033
SE 496.233	0.163396	-0.206988
SE 496.905	0.172342	-0.212378
SE 497.577	0.182531	-0.221045
SE 498.25	0.188881	-0.227123
SE 498.922	0.197143	-0.231926
SE 499.594	0.205647	-0.238507
SE 500.265	0.214859	-0.244272
SE 500.937	0.222426	-0.249843
SE 501.609	0.231071	-0.255223
SE 502.281	0.240014	-0.261326
SE 502.953	0.248095	-0.265455
SE 503.625	0.256362	-0.27189
SE 504.296	0.263407	-0.275835
SE 504.968	0.270344	-0.280368
SE 505.639	0.279523	-0.284473
SE 506.311	0.287716	-0.289649
SE 506.982	0.294274	-0.294346
SE 507.654	0.302211	-0.298282
SE 508.325	0.310674	-0.303262
SE 508.997	0.317323	-0.306814
SE 509.668	0.325768	-0.309067
SE 510.339	0.334563	-0.312335
SE 511.011	0.341793	-0.316311
SE 511.682	0.347852	-0.320532
SE 512.353	0.356981	-0.32204
SE 513.024	0.364135	-0.326784
SE 513.695	0.370218	-0.327939
SE 514.366	0.379869	-0.330924
SE 515.037	0.386045	-0.333186
SE 515.708	0.394681	-0.335771
SE 516.379	0.401464	-0.338321
SE 517.05	0.40924	-0.340207
SE 517.721	0.416811	-0.344158
SE 518.392	0.424819	-0.344862
SE 519.062	0.432531	-0.348375
SE 519.733	0.439829	-0.348854
SE 520.404	0.448112	-0.351087
SE 521.074	0.455466	-0.351807
SE 521.745	0.463272	-0.353431
SE 522.416	0.471957	-0.354665
SE 523.086	0.478711	-0.357284
SE 523.757	0.485399	-0.356717
SE 524.427	0.494098	-0.357242
SE 525.097	0.502304	-0.358529
SE 525.768	0.508597	-0.35904
SE 526.438	0.517734	-0.360794
SE 527.108	0.524012	-0.361195
SE 527.778	0.534023	-0.360707
SE 528.449	0.540227	-0.360917
SE 529.119	0.549939	-0.361053
SE 529.789	0.556814	-0.362285
SE 530.459	0.564115	-0.362958
SE 531.129	0.572277	-0.362901
SE 531.799	0.580101	-0.362422
SE 532.469	0.588033	-0.361354
SE 533.139	0.596177	-0.361078
SE 533.809	0.603884	-0.361683
SE 534.478	0.611834	-0.361623
SE 535.148	0.619486	-0.360604
SE 535.818	0.626721	-0.360945
SE 536.488	0.635725	-0.360287
SE 537.157	0.64277	-0.358982
SE 537.827	0.649996	-0.358249
SE 538.496	0.658088	-0.356829
SE 539.166	0.666989	-0.356672
SE 539.835	0.675322	-0.355942
SE 540.505	0.682899	-0.354196
SE 541.174	0.69085	-0.353267
SE 541.844	0.698725	-0.351303
SE 542.513	0.705887	-0.352063
SE 543.182	0.714225	-0.350556
SE 543.852	0.721744	-0.34892
SE 544.521	0.729872	-0.347341
SE 545.19	0.7374	-0.346969
SE 545.859	0.745051	-0.345603
SE 546.528	0.753158	-0.343177
SE 547.197	0.760932	-0.342643
SE 547.866	0.766922	-0.339905
SE 548.535	0.775165	-0.33978
SE 549.204	0.781516	-0.338205
SE 549.873	0.788674	-0.336485
SE 550.542	0.796401	-0.334463
SE 551.211	0.803141	-0.332202
SE 551.88	0.810207	-0.333296
SE 552.548	0.817577	-0.33039
SE 553.217	0.82405	-0.328498
SE 553.886	0.831245	-0.328079
SE 554.554	0.83719	-0.325877
SE 562.575	0.903193	-0.311284
SE 563.243	0.907819	-0.309652
SE 563.911	0.912696	-0.309123
SE 564.579	0.915943	-0.308323
SE 565.247	0.918462	-0.308272
SE 565.915	0.921883	-0.306215
SE 566.583	0.925466	-0.306978
SE 567.251	0.926761	-0.305176
SE 567.919	0.930184	-0.305611
SE 568.587	0.933102	-0.304835
SE 569.254	0.936773	-0.303621
SE 569.922	0.937504	-0.303963
SE 570.59	0.940473	-0.304161
SE 571.258	0.942013	-0.302711
SE 571.925	0.945363	-0.302218
SE 572.593	0.945092	-0.303015
SE 573.26	0.947217	-0.303219
SE 573.928	0.948815	-0.303833
SE 574.595	0.947123	-0.3032
SE 575.263	0.948662	-0.303524
SE 575.93	0.946976	-0.303183
SE 576.598	0.947969	-0.304849
SE 577.265	0.947441	-0.305303
SE 577.932	0.946856	-0.304346
SE 578.6	0.946432	-0.306701
SE 579.267	0.944339	-0.306608
SE 579.934	0.943769	-0.308029
SE 580.601	0.941742	-0.307885
SE 581.268	0.93998	-0.308318
SE 581.935	0.937514	-0.310805
SE 582.602	0.935842	-0.313031
SE 583.269	0.933926	-0.313032
SE 583.936	0.930502	-0.314396
SE 584.603	0.930328	-0.315119
SE 585.27	0.926417	-0.316078
SE 585.937	0.922607	-0.316578
SE 586.604	0.918469	-0.31835
SE 587.271	0.91525	-0.319281
SE 587.937	0.912109	-0.320723
SE 588.604	0.907992	-0.322107
SE 589.271	0.904412	-0.324317
SE 589.937	0.900773	-0.326121
SE 590.604	0.896239	-0.327535
SE 591.271	0.892212	-0.327508
SE 591.937	0.888569	-0.329417
SE 592.604	0.883187	-0.3295
SE 593.27	0.877945	-0.331998
SE 593.937	0.874578	-0.335613
SE 594.603	0.868919	-0.33613
SE 595.269	0.86246	-0.338906
SE 595.936	0.858748	-0.339678
SE 596.602	0.854092	-0.341271
SE 597.268	0.848672	-0.342575
SE 597.934	0.842506	-0.343871
SE 598.601	0.837425	-0.347395
SE 599.267	0.833246	-0.347671
SE 599.933	0.827435	-0.351973
SE 600.599	0.82046	-0.350162
SE 601.265	0.815354	-0.353366
SE 601.931	0.809722	-0.353598
SE 602.597	0.804015	-0.355686
SE 603.263	0.798813	-0.35711
SE 603.929	0.79205	-0.359276
SE 604.595	0.785298	-0.360244
SE 605.26	0.779987	-0.361365
SE 605.926	0.774904	-0.363652
SE 606.592	0.767795	-0.365952
SE 607.258	0.762252	-0.366483
SE 607.923	0.75708	-0.367088
SE 608.589	0.750114	-0.369301
SE 609.255	0.744347	-0.369286
SE 609.92	0.738044	-0.371787
SE 610.586	0.734113	-0.373635
SE 611.251	0.726142	-0.374786
SE 611.917	0.720092	-0.375597
SE 612.582	0.71468	-0.375373
SE 613.248	0.707838	-0.378435
SE 613.913	0.702831	-0.379851
SE 614.578	0.696698	-0.379287
SE 615.244	0.6899	-0.382719
SE 615.909	0.682967	-0.381848
SE 616.574	0.677981	-0.382968
SE 617.239	0.672738	-0.38366
SE 617.905	0.666037	-0.385861
SE 618.57	0.660604	-0.387103
SE 619.235	0.654183	-0.387688
SE 619.9	0.647786	-0.390239
SE 620.565	0.642368	-0.38941
SE 621.23	0.637881	-0.388854
SE 621.895	0.631468	-0.389875
SE 622.56	0.625788	-0.391253
SE 623.225	0.619228	-0.392287
SE 623.89	0.61251	-0.392557
SE 624.555	0.607575	-0.39414
SE 625.219	0.600842	-0.394585
SE 625.884	0.595875	-0.395571
SE 626.549	0.589991	-0.395525
SE 627.214	0.583239	-0.395272
SE 627.878	0.578238	-0.395817
SE 628.543	0.572976	-0.39584
SE 629.207	0.568041	-0.395439
SE 629.872	0.561385	-0.396231
SE 630.537	0.556842	-0.396785
SE 631.201	0.550614	-0.397395
SE 631.866	0.544605	-0.398126
SE 632.53	0.538817	-0.397743
SE 633.194	0.53389	-0.398116
SE 633.859	0.528129	-0.399164
